tname,title,view,like,danmaku,share,coin
科学科普,啃硫黄乱象频出！是治病还是索命？,952976,88102,5685,8424,8424
MMD·3D,【原神HoYoFair】等级不是问题,1823408,349411,10224,43980,43980
娱乐杂谈,被点名的猫一杯，到凉都不知道自己错在哪。,910927,26343,4398,1097,1097
新能源车,小米SU7性能对决极氪007！谁更快？,761940,100359,6308,6074,6074
数码,【HUAWEI Pura】全新姿态，再出发,237592,15073,1241,5212,5212
美食记录,芬兰家人第一次看百大领奖现场被惊到傻眼全家笑疯！疯狂抢食腊排骨火锅豆豉火锅太惊艳！畅聊中国行开心到裂开！,607769,75440,6368,396,396
汽车生活,全网首发！UP主亲身实弹测试！特斯拉赛博皮卡到底防不放弹？,735061,84458,4318,4406,4406
三农,中 国 人 有自己的中二病,417669,74219,516,4165,4165
鬼畜剧场,【猫meme】当老师叫你同桌上去读作文时,906355,138453,110,5664,5664
三农,147.3万硬币，把所有的利润一天花完是什么体检，到底会有多少钱呢？,1046387,90433,2093,400,400
社科·法律·心理,跟大家聊聊猫一杯吧，这种短视频风气我实在不吐不快,2194530,204732,5852,5159,5159
人文历史,找到了！这个背着药箱冲锋的背影，她终究没有跨过那条江,1209770,139069,3580,1874,1874
美食侦探,【老王x老马】简简单单吃个羊羔肉，离婚侄子，浇给~,574485,62723,3561,2997,2997
出行,来了,1177836,80912,2005,2417,2417
搞笑,这个家没王妈真得散！！,4395496,395277,6534,11348,11348
日常,抱歉久等了！终于有结果了！,522570,126442,2028,797,797
极客DIY,重生之我回到末日前建设末日地堡（一）,917040,124246,3324,4567,4567
健身,吃自助餐还送奖牌？499元莫干山30公里山地自助餐，鸡腿包子炒饭不限量畅吃，能回本吗？,436776,31846,3676,1800,1800
搞笑,满足了甲方的癖好♥,5671593,569888,9054,22741,22741
人文历史,史上最恶心的皇帝,443065,28435,1597,874,874
手工,好可爱的笔！圆嘟嘟的怎么写字啊？,1544850,210263,4247,868,868
电子竞技,【2024LPL春季赛】4月14日 JDG vs TES,710480,7923,8782,243,243
人文历史,苏联人如何搞互联网？【神奇组织19】,2352802,197422,29922,8693,8693
人文历史,中学生、大学生、社会人，谁的知识储备更多？,372911,26141,4313,517,517
搞笑,各地朋友，这些是真的啊？,761442,82864,2141,867,867
日常,中国人不骗韩国人~中医太神奇呀!,587938,60647,221,2465,2465
足球,新王诞生！勒沃库森提前五轮夺冠！凯恩梦碎，拜仁11连冠终结！,280479,15263,937,1008,1008
MMD·3D,【原神HoYoFair】暗流之下 | 先驱EP3【狄龙顾dillongoo】,283969,45199,1850,3661,3661
综合,《蔚蓝档案The Animation》第2话：我不同意！,262153,33198,12179,4092,4092
职业职场,职场里，如何欺负一个性子软的人,1842939,252627,861,10462,10462
软件应用,李跳跳重制版，真的会让你直呼卧槽！【第2期】,503249,17631,396,1756,1756
影视杂谈,凶手嘲笑受害者家属，法官：本来无期现在死刑！超解气庭审合集,991356,34832,4428,414,414
搞笑,感觉腿都不是我的了，走不完，根本走不完,1087875,181107,2177,1437,1437
运动文化,张镇辉台球正经教学【6个不太建议使用的技巧】18.0版本,2870593,353232,3070,14229,14229
单机游戏,【STN快报第七季53】为了拿百大我搞死了所有同事,657643,54884,8084,1245,1245
搞笑,🐲 卧 龙 凤 雏 🐦‍🔥,2551837,176783,8071,1608,1608
国产原创相关,当熊出没遇到《wake》，整个狗熊岭都燃起来了！,2260931,74514,3059,2210,2210
单机游戏,“12万的预算我也就贪了11.9万而已”,1393309,103519,838,416,416
单机游戏,路口减速包，真是天才设计,1082154,36936,6209,2381,2381
搞笑,美国政府全面禁止Tiktok,1822999,250769,2518,13221,13221
人文历史,英歌舞5岁小女孩,4640151,292540,435,882,882
搞笑,《被神抛弃の人》,524581,86563,816,4437,4437
动漫杂谈,离谱！和我对线一整年的喷子竟是我推的偶像？【新番日推12】,181581,14233,667,1986,1986
电子竞技,【真实锐评 TES JDG】 恭喜TES 6-1拿下京东挺近MSI 小天哭了！,287202,12374,1179,203,203
出行,当我来到世界尽头,677072,51838,2983,12810,12810
国产原创相关,当我带老爸欣赏弱智吧语录，看完感觉我才是弱智,2180333,225189,4469,5578,5578
搞笑,求求别立爱女人设了!,886412,112944,3654,6943,6943
穿搭,168cm/50kg 嘘！偷穿老公的衣服～【清清的穿搭分享】,376908,15217,186,1105,1105
搞笑,咱爸成佛了,351785,50032,211,555,555
单机游戏,【猫meme】我爸说有种你就几天涨十几万粉丝,1078921,238898,1729,189,189
影视杂谈,【扁豆】太敢拍了，中国顶级讽刺片！看完我沉默了！《假如我是真的》,958633,86172,6421,7449,7449
美食制作,狠狠教训这些浪费食物的网红,4314913,690057,1611,1406,1406
动漫杂谈,“七剑合璧后，杀掉马三娘！”【虹猫蓝兔七侠传X虹猫人物志】,484374,25573,463,322,322
设计·创意,机械时代的诅咒？为什么我国的作业册越来越丑？,102788,7033,417,516,516
日常,清明节 干殡葬的不放假,275109,40533,2143,299,299
桌游棋牌,值得吗？费尽周折拯救一只15年前死去的宝可梦,380567,24293,1392,3357,3357
电子竞技,在太后面前，谁能自称线霸？,586009,45943,928,255,255
搞笑,全新超市捉迷藏！谁才是真正的大侦探？,1646663,157071,4920,6636,6636
手机游戏,你跟我说这游戏是给奶奶玩的？？？？,146239,5613,789,917,917
搞笑,朋友 看似波澜不起的日复一日 一定会在某一天让你看到坚持的意义,476245,71883,389,1215,1215
日常,整蛊！把自己变成透明人偷偷蹭女友...再假装重度烫伤让她破防！,822379,54490,2727,1403,1403
短片·手书,穿越到游戏王，给动画里的阳间人一点小小阴间震撼,412131,28976,1626,987,987
网络游戏,DNF爆炸性大结局！宝哥增幅四件18后又冲击19耳环成功！半夜41万人在线！奇迹！狗托！牛逼！,746751,11743,955,2791,2791
校园学习,想学英语，看完这个视频，超级干货的汉英译,1661586,60156,429,1239,1239
出行,我不是针对普陀山，我是针对所有收门票的宗教场所,851485,97865,3794,3368,3368
日常,我发现一个中国人天天抹黑我们欧洲！我真的很生气！,2259001,276517,9531,5319,5319
科学科普,一个囚犯在晚餐时吃了放了2周的烤土豆，这是他的大脑发生的变化,421727,31580,4156,1905,1905
影视杂谈,【甄嬛传124】皇上为何同意将安陵容的封号定为「鹂」？,342109,15403,2148,232,232
电子竞技,【D深情秋刀鱼】我的最新作品，快来一睹为快！,389220,73801,475,2517,2517
三农,得罪全班女生的后果,626415,50762,1834,1174,1174
网络游戏,游 戏 恐 怖 指 数 现 状,350650,39788,402,625,625
短片·手书,叫出租女友结果来的是姐姐,339019,42599,197,458,458
小剧场,吊车尾也有春天,2424227,345090,2322,2644,2644
影视杂谈,窝囊人集结，吵架吵不赢不是因为嘴笨！甄嬛传颠覆性的吵架哲学,504192,30350,1725,4891,4891
桌游棋牌,编故事大王（3）,3066866,188905,18472,4741,4741
亲子,老妈爆改又来啦！今天咱就cos个叛逆学姐吧,1245663,179155,1562,13276,13276
美食侦探,探秘俄罗斯超市！100元能买什么？熊肉竟然都有卖！,979335,70684,6886,4339,4339
影视剪辑,是否还记得妈妈年轻时的样子，大型纪录片《爱你，老妈》,699429,95890,344,576,576
手机游戏,火上央视，这款中国游戏凭什么难有对手,873441,104685,3464,1811,1811
新能源车,小米Su7碰撞实测来了,198539,22327,491,1570,1570
演奏,金色大厅交响乐演奏星游记OP【再飞行】（迫真）,371716,49640,781,2825,2825
校园学习,在吗？结婚！,1817986,357368,14488,8126,8126
影视杂谈,当爱豆被“流放”？内娱小鲜肉这次真被“整顿”了！,350443,16881,2276,806,806
影视剪辑,“双胞胎弟弟去世之后，我爱上了他的女朋友”,638905,60050,9219,11587,11587
单机游戏,圣女的邪恶堕落？真相让全球99%的玩家破防！这款21年的游戏真结局让人落泪！,1133657,71432,1262,1093,1093
鬼畜调教,⚡我 在 5:20 睡 觉 13:14 准 时 起！⚡,2194215,433023,2206,22748,22748
美食侦探,告别早餐3大误区，精力爆棚一整天,389352,33445,88,1468,1468
健身,【奥运冠军的脊医博士后】腰突不焦虑！科学吊单杠！腰突星人福音！,2176100,146670,589,11663,11663
出行,河南郑州农村里的一个老中医，擅长治疗皮肤病,1226674,134892,258,802,802
影视杂谈,大明奥斯卡！装傻大师对决装疯天才！国产第一神剧深度拆解！第25回,388396,27196,2898,369,369
搞笑,（当 代 热 门 游 戏 现 状）,721113,76652,6372,1583,1583
小剧场,陈翔六点半：职场无间风云起，反间计里定乾坤,797200,72201,1836,1229,1229
美食记录,韩国女校食堂5500元自助午饭长啥样？（草料哥今天打包）,528873,67721,538,95,95
GMV,“甜度最高的一集！”女角色向你告白，谁能俘获你的心？,318119,21828,961,2535,2535
美食侦探,全球最贵私人飞机，30万的机票！到底吃什么？,2008226,192085,4053,1997,1997
日常,有个重要的事情要跟大家说,519653,16913,402,710,710
影视杂谈,又一「生猛」华语片，爆了！穷人讲家教，富人谋家底，从教育方式，看思维差异｜年度最美台湾片《老狐狸》,256215,14866,554,1001,1001
手工,哇！抽到了真的红夫人！,923483,157088,638,3770,3770
科学科普,花9亿把黄河引到沙漠里，是超级工程，还是劳民伤财？,1662415,228225,4738,4558,4558
搞笑,赌赢了脱单，赌输了......,236478,19368,530,767,767
三农,老太太结尾说的那两句话，我这生蚝大包子吃的挺沉重啊#榴莲,388072,49823,618,461,461
影视杂谈,彻底戳破大女主人设！《承欢记》逆天吐槽,833952,25463,7805,1009,1009
短片·手书,文明的交汇,122422,10880,152,512,512
搞笑,不同类型的外卖员,1621816,155809,914,1587,1587
网络游戏,线下“真实”粉丝？！使我想把他们的故事带给你们...,421076,55775,1265,587,587
新能源车,国产电动车，能完全战胜燃油性能车了？,1087317,114820,10014,4701,4701
日常,带你一起体验没大没小@爱鼓捣的邢志磊,5167029,489790,1922,19013,19013
MV,【自由自在】剧情版MV 大步向前走！,581455,35397,970,759,759
人文历史,【邓肯】西藏冒险王遇难之谜，关于阴谋的几种恐怖猜测！,1329448,97288,5354,1017,1017
搞笑,迪亖尼级【不要笑挑战】只有4.13%的人能忍得住不笑看到最后！！,995590,79951,3716,1116,1116
短片·手书,【我的幽灵女友官方】#60 奶茶，我学废了！,554903,80832,76,466,466
动漫杂谈,《名柯押韵梗》可惜你不看名柯，希望他们没有痛苦，一切都是梦境,495159,48322,301,2131,2131
搞笑,被谷歌翻译20次的“桃园三结义”：最强的卡组究竟是什么？每家洗浴中心的黑名单都有你！,519728,55128,8667,11508,11508
科学科普,极端天气越来越多，八零九零后们真的不能安享晚年吗,297347,21145,2625,2332,2332
日常,如果你发现自己的语言逻辑很混乱,404467,23779,101,906,906
单机游戏,👻巨恐怖👻→四人成行,213886,20282,850,1421,1421
网络游戏,那一刀以后，那个男孩的自尊心再也没有被打碎,322536,61716,186,213,213
日常,【诚】普通人大战黑心师傅：请点开这个视频，看见这个行业,802070,112477,2565,3844,3844
电子竞技,吉星赌狗的巅峰！238层加注，成功赌到数字1！,974333,57173,1519,6394,6394
手工,河北的地形条件有多绝！东有山海关扼守辽西走廊。西有居庸关镇守军都陉，以及与山西往来的太行八陉,797391,31221,354,848,848
人文历史,宫崎骏新片，不适合中国宝宝体质【毒舌的南瓜】,544346,42815,6251,6340,6340
日常,【毕导】重大的决定有时往往只是一瞬间,1044193,88292,3798,6088,6088
科学科普,【医学博士】“听话水”为何让人听话？| 被下药后如何快速清醒？,552158,73679,1945,3159,3159
娱乐杂谈,太能装了，被这群“活爹”笑死！【锐评近期爆笑装逼冥场面】,1190251,45620,21613,12010,12010
搞笑,我已经不懂现在的二手市场了…,301276,41096,224,91,91
影视杂谈,【阿斗】50万人拍案叫绝的国产犯罪经典，男主全程没有一句台词，看完却背脊发凉《暴裂无声》,1145467,58561,3806,988,988
动漫杂谈,[TV2] 平安夜还在网上和你聊天的陌生女孩子难道不是天使吗？2024年4月新番大爆炸（上）,34555,4258,1363,498,498
日常,网络热门“智熄”视频鉴定（66）— 塑料大米,308386,16390,309,127,127
三农,我那个呆子朋友，下乡给老人拍了13年的照片，捞到了太多好处,664535,119943,608,1517,1517
职业职场,请求方凯瑞CARRIE答疑解惑,239971,22485,317,287,287
搞笑,就这样的经历 谁来都得上头！,3467974,425430,3653,24669,24669
搞笑,姐妹默契大挑战，你们私下竟然是这种人！,700320,47190,959,426,426
综合,HoYoFair | 信仰之境：真实演绎,229385,35612,1219,3594,3594
美食制作,肉还能这么做？,1398886,62288,449,463,463
社科·法律·心理,【参考信息第241期】20岁加班毁50；英国弹性工作制,181952,10348,1277,438,438
手工,用金山做了个非遗泥金吊牌，这才是真正的中式奢侈品吧！,1071038,57063,166,117,117
日常,跟着气球去流浪，直到爆炸,5377175,246603,1365,6008,6008
新能源车,小米SU7，全国首撞！,7209840,396592,54071,52108,52108
手机游戏,最浪漫的一集！揭秘开拓者爱翻垃圾桶的幕后原因！流萤居然是苍穹战线格拉默的女皇？！【崩坏星穹铁道】萨姆寰宇蝗灾星核猎手卡芙卡刃银狼艾利欧了不起的塔塔洛夫,458387,65071,1241,7489,7489
电子竞技,孩子们，该吃暴击了！！！,1201075,86953,1496,782,782
美食侦探,别笑了，这道美食你也吃过,272483,32409,789,560,560
美食记录,真香！！！看见炊事兵背着枪就把菜炒了～,356864,51612,1392,715,715
日常,每天认识一个厉害的陌生人！今天认识余华老师！！,766695,182713,707,892,892
音乐现场,BABYMONSTER Ahyeon郑雅贤Dangerously认哥Live版,646608,67176,1782,8577,8577
美食侦探,特厨探店 |为了一个菜跑了一个城市！-保定永生号小吃,358524,32461,715,1686,1686
手办·模玩,一整年没有抽赏，我似乎忘记教训了。。。,163434,15429,1980,771,771
手机游戏,背负一切的终末之战！新区巅峰主宰终于诞生，我们是冠军！新区从零开始的火影之路（完结）,247815,17765,1183,182,182
绘画,【教程】屁股沟子和钢门定位法-轻松解决绘画难题之人体大透视,453167,48140,965,8689,8689
日常,查 房,827476,121736,1679,4990,4990
运动综合,学费回收计划：钓了个学妹,263279,26326,952,515,515
手机游戏,【星穹铁道】战意狂潮 (4.15已更)活动攻略/试用角色/扑满效应/生死边缘/独尊一魁/弱点突袭/益伤串流/无尽行动/低配/平民/星穹铁道2.1,413097,16950,261,523,523
仿妆cos,发现你了哦 我的小白鼠,333240,127441,143,4016,4016
小剧场,今天没段子,175840,40081,632,62,62
亲子,一个很护食的小女孩，当了妈妈之后…,2706195,353321,2975,22918,22918
短片·手书,（ 我 年 轻 的 时 候 .. 嘿 嘿 ..  ）,1957323,301118,1553,2240,2240
出行,你敢相信这里是越南吗？越南最繁华的城市西贡，据说马上要赶超上海！,458899,7146,3171,621,621
手机游戏,《物华弥新》公测前瞻特别节目,308799,14279,1125,2203,2203
国产原创相关,当我带老爸欣赏弱智吧金句，进去一个小时后发现只有我自己是弱智,167480,11714,245,179,179
出行,美国家人参观南京大屠杀遇难同胞纪念馆，看完久久不能平复,319708,24602,2868,172,172
美食测评,最“短命”的网红小吃，曾经排队疯抢，现在怎么样了？？？,921595,38295,4723,489,489
原创音乐,莫哭，不过是个《匹夫》！,442346,45785,781,1613,1613
人文历史,只因移动了一下空调，20秒内1500人被活埋，揭秘韩国三丰百货倒塌事件,929012,22203,3280,842,842
翻唱,5 ：20 AM 睡觉♬🌙学做一个河南甜妹,260031,29424,168,748,748
汪星人,这羊太犟了，不是顶人就是拆家，只有蒙蔽它的双眼才老实,279233,22410,1410,377,377
家居房产,爆改上海1平米棺材房,1143103,33591,839,841,841
单机游戏,震撼！当整个世界的生物会疯狂乱撞！,653244,63135,2902,442,442
搞笑,咱爹咱妈的爱情故事之约会日,204197,39752,552,594,594
出行,自主攀登6000米雪山是什么体验？峰哥亡命天涯,538183,15611,482,4762,4762
美食记录,在西班牙卖摆摊卖一天酱香饼，40元一份有没有老外识货呢？,1230949,144730,976,1821,1821
美食侦探,是甜蜜的罪恶，深夜麻酱泡面！东北的碳水都太炸裂了！,599484,38581,1757,1765,1765
